1kP_Sample,Clade,Family,Species,,,
ISHC,Green Algae,Desmidiaceae,Staurastrum sebaldi,,,
WCQU,Green Algae,Desmidiaceae,Staurodesmus convergens,,,
RPRU,Green Algae,Desmidiaceae,Staurodesmus omearii,,,
GBGT,Green Algae,Desmidiaceae,Xanthidium antilopaeum,,,
WSJO,Green Algae,Mesotaeniaceae,Mesotaenium braunii,,,
HKZW,Green Algae,Mesotaeniaceae,Mesotaenium caldariorum,,,
WDCW,Green Algae,Mesotaeniaceae,Mesotaenium endlicherianum,,,
NBYP,Green Algae,Mesotaeniaceae,Mesotaenium kramstae,,,
YOXI,Green Algae,Mesotaeniaceae,Cylindrocystis brebissonii,,,
RPGL,Green Algae,Mesotaeniaceae,Cylindrocystis brebissonii,,,
VAZE,Green Algae,Mesotaeniaceae,Cylindrocystis sp.,,,
FFGR,Green Algae,Mesotaeniaceae,Netrium digitus,,,
KMNX,Green Algae,Mesotaeniaceae,Nucleotaenium eifelense,,,
SNOX,Green Algae,Mesotaeniaceae,Planotaenium ohtanii,,,
XRTZ,Green Algae,Mesotaeniaceae,Roya obtusa,,,
NNHQ,Green Algae,Mesotaeniaceae,Spirotaenia minuta,,,
TPHT,Green Algae,Mesotaeniaceae,Spirotaenia sp.,,,
YSQT,Green Algae,Peniaceae,Penium exiguum,,,
AEKF,Green Algae,Peniaceae,Penium margaritaceum,,,
KEYW,Green Algae,Gonatozygaceae,Gonatozygon kinahanii,,,
POOW,Glaucophyta (Algae),Glaucocystaceae,Glaucocystis cf. nostochinearum,,,
QFND,Glaucophyta (Algae),Glaucocystaceae,Cyanophora paradoxa CCAC 0074 (M0763),,,
YTYU,Glaucophyta (Algae),Glaucocystaceae,Cyanophora paradoxa CCAC 0091 (M0507/1),,,
PQED,Glaucophyta (Algae),Glaucocystaceae,Gloeochaete wittrockiana,,,
JKHA,Glaucophyta (Algae),incertae sedis,Cyanoptyche gloeocystis,,,
OBUY,Red Algae,Porphyridiaceae,Porphyridium cruentum,,,
PVGP,Red Algae,Porphyridiaceae,Porphyridium purpureum,,,
RSOF,Red Algae,Glaucosphaeraceae,Glaucosphaera vacuolata,,,
JJZR,Red Algae,Rhodochaetaceae,Rhodochaete parvula,,,
LLXJ,Red Algae,Stylonemataceae,Chroodactylon ornatum,,,
ZULJ,Red Algae,Bangiaceae,Pyropia yezoensis,,,
VZWX,Red Algae,Ceramiaceae,Ceramium kondoi,,,
YSBD,Red Algae,Dasyaceae,Heterosiphonia pulchra,,,
XAXW,Red Algae,Rhodomelaceae,Neosiphonia japonica,,,
UYFR,Red Algae,Rhodomelaceae,Symphyocladia latiuscula,,,
IEHF,Red Algae,Dumontiaceae,Dumontia simplex,,,
SBLT,Red Algae,Endocladiaceae,Gloiopeltis furcata,,,
UGPM,Red Algae,Gigartinaceae,Chondrus crispus,,,
WEJN,Red Algae,Gigartinaceae,Mazzaella japonica,,,
CKXF,Red Algae,Phyllophoraceae,Ahnfeltiopsis flabelliformis,,,
BWVJ,Red Algae,Solieriaceae,Betaphycus philippinensis,,,
JEBK,Red Algae,Solieriaceae,Eucheuma denticulatum,,,
IHJY,Red Algae,Solieriaceae,Kappaphycus alvarezii,,,
FTRP,Red Algae,Gracilariaceae,Gracilaria chouae,,,
VNAL,Red Algae,Gracilariaceae,Gracilaria vermiculophylla,,,
LJPN,Red Algae,Gracilariaceae,Gracilaria blodgettii,,,
IKWM,Red Algae,Gracilariaceae,Gracilaria lemaneiformis,,,
ZJOJ,Red Algae,Halymeniaceae,Grateloupia filicina,,,
IKIZ,Red Algae,Halymeniaceae,Grateloupia livida,,,
URSB,Red Algae,Halymeniaceae,Grateloupia turuturu,,,
PYDB,Red Algae,Halymeniaceae,Grateloupia catenata,,,
PWKQ,Red Algae,Halymeniaceae,Gracilaria sp.,,,
RTLC,Red Algae,Rhodellaceae,Rhodella violacea,,,
BAKF,Chromista (Algae),Cryptomonadaceae,Cryptomonas curvata,,,
ROZZ,Chromista (Algae),Chroomonadaceae,Chroomonas sp.,,,
MJMQ,Chromista (Algae),Chroomonadaceae,Hemiselmis virescens,,,
IRZA,Chromista (Algae),Geminigeraceae,Proteomonas sulcata,,,
IAYV,Chromista (Algae),Pyrenomonadaceae,Rhodomonas sp.,,,
BAJW,Chromista (Algae),Isochrysidaceae,Isochrysis sp.,,,
APTP,Chromista (Algae),Ishigeaceae,Ishige okamurae,,,
LXRN,Chromista (Algae),Prymnesiaceae,Prymnesium parvum,,,
NMAK,Chromista (Algae),Pavlovaceae,Pavlova lutheri,,,
RFAD,Chromista (Algae),Pavlovaceae,Pavlova lutheri CCAC 0028,,,
LLEN,Chromista (Algae),Pavlovaceae,Pavlova lutheri SAG 926-1,,,
RAPY,Chromista (Algae),Laminariaceae,Saccharina sculpera,,,
OGZM,Chromista (Algae),Laminariaceae,Saccharina japonica,,,
QDTV,Chromista (Algae),Laminariaceae,Saccharina japonica,,,
FIDQ,Chromista (Algae),Alariacea,Undaria pinnatifida,,,
EBWI,Chromista (Algae),Chromulinaceae,Ochromonas sp.,,,
JQFK,Chromista (Algae),Monodopsidaceae,Picochlorum atomus,,,
BOGT,Chromista (Algae),Mallomonadaceae,Mallomonas sp.,,,
VKVG,Chromista (Algae),Mallomonadaceae,Synura sp.,,,
DBYD,Chromista (Algae),Mallomonadaceae,Synura petersenii,,,
FSQE,Chromista (Algae),Desmarestiaceae,Desmarestia viridis,,,
LIRF,Chromista (Algae),Dictyotaceae,Dictyopteris undulata,,,
QLMZ,Chromista (Algae),Scytosiphonaceae,Colpomenia sinuosa,,,
JCXF,Chromista (Algae),Scytosiphonaceae,Scytosiphon lomentaria,,,
ASZK,Chromista (Algae),Chordariacea,Punctaria latifolia,,,
ULXR,Chromista (Algae),Scytosiphonacea,Scytosiphon dotyi,,,
VRGZ,Chromista (Algae),Scytosiphonacea,Petalonia fascia,,,
LDRY,Chromista (Algae),Sargassaceae,Sargassum fusiforme,,,
VYER,Chromista (Algae),Sargassaceae,Sargassum hemiphyllum,,,
FIKG,Chromista (Algae),Sargassaceae,Sargassum henslowianum,,,
RWXW,Chromista (Algae),Sargassaceae,Sargassum horneri,,,
FOMH,Chromista (Algae),Sargassaceae,Sargassum integerrimum,,,
YRMA,Chromista (Algae),Sargassaceae,Sargassum thunbergii,,,
HFIK,Chromista (Algae),Sargassaceae,Sargassum vachellianum,,,
JGGD,Chromista (Algae),Sargassacea,Sargassum muticum,,,
TZJQ,Dinophyceae,Prorocentraceae,Prorocentrum micans,,,
UNBZ,Euglenozoa,Euglenacaea,Euglena sp.,,,
